task_id,condition,draws,passed_draws,missing_draws,pass_rate,success_lower,success_upper
leetcode/3731,A,3,3,0,1.0,1.0,1.0
leetcode/3731,B,3,3,0,1.0,1.0,1.0
leetcode/3731,D,3,3,0,1.0,1.0,1.0
leetcode/3731,P,3,3,0,1.0,1.0,1.0
leetcode/3731,FIXED_M,3,3,0,1.0,1.0,1.0
leetcode/3731,ROTATING_M,3,3,0,1.0,1.0,1.0
leetcode/3731,FIXED_H,3,3,0,1.0,1.0,1.0
leetcode/3731,ROTATING_H,3,3,0,1.0,1.0,1.0
atcoder/abc392_b,A,3,0,0,0.0,0.0,0.0
atcoder/abc392_b,B,3,3,0,1.0,1.0,1.0
atcoder/abc392_b,D,3,3,0,1.0,1.0,1.0
atcoder/abc392_b,P,3,3,0,1.0,1.0,1.0
atcoder/abc392_b,FIXED_M,3,3,0,1.0,1.0,1.0
atcoder/abc392_b,ROTATING_M,3,3,0,1.0,1.0,1.0
atcoder/abc392_b,FIXED_H,3,3,0,1.0,1.0,1.0
atcoder/abc392_b,ROTATING_H,3,3,0,1.0,1.0,1.0
leetcode/3654,A,3,3,0,1.0,1.0,1.0
leetcode/3654,B,3,0,0,0.0,0.0,0.0
leetcode/3654,D,3,3,0,1.0,1.0,1.0
leetcode/3654,P,3,0,0,0.0,0.0,0.0
leetcode/3654,FIXED_M,3,0,0,0.0,0.0,0.0
leetcode/3654,ROTATING_M,3,0,0,0.0,0.0,0.0
leetcode/3654,FIXED_H,3,0,0,0.0,0.0,0.0
leetcode/3654,ROTATING_H,3,0,0,0.0,0.0,0.0
atcoder/abc371_b,A,3,3,0,1.0,1.0,1.0
atcoder/abc371_b,B,3,3,0,1.0,1.0,1.0
atcoder/abc371_b,D,3,3,0,1.0,1.0,1.0
atcoder/abc371_b,P,3,3,0,1.0,1.0,1.0
atcoder/abc371_b,FIXED_M,3,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
atcoder/abc371_b,ROTATING_M,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
atcoder/abc371_b,FIXED_H,3,3,0,1.0,1.0,1.0
atcoder/abc371_b,ROTATING_H,3,3,0,1.0,1.0,1.0
atcoder/abc388_f,A,3,0,0,0.0,0.0,0.0
atcoder/abc388_f,B,3,0,0,0.0,0.0,0.0
atcoder/abc388_f,D,3,0,0,0.0,0.0,0.0
atcoder/abc388_f,P,3,0,0,0.0,0.0,0.0
atcoder/abc388_f,FIXED_M,3,0,0,0.0,0.0,0.0
atcoder/abc388_f,ROTATING_M,3,0,0,0.0,0.0,0.0
atcoder/abc388_f,FIXED_H,3,0,0,0.0,0.0,0.0
atcoder/abc388_f,ROTATING_H,3,0,0,0.0,0.0,0.0
atcoder/arc195_a,A,3,3,0,1.0,1.0,1.0
atcoder/arc195_a,B,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
atcoder/arc195_a,D,3,3,0,1.0,1.0,1.0
atcoder/arc195_a,P,3,0,0,0.0,0.0,0.0
atcoder/arc195_a,FIXED_M,3,0,0,0.0,0.0,0.0
atcoder/arc195_a,ROTATING_M,3,0,0,0.0,0.0,0.0
atcoder/arc195_a,FIXED_H,3,0,0,0.0,0.0,0.0
atcoder/arc195_a,ROTATING_H,3,0,0,0.0,0.0,0.0
atcoder/arc194_e,A,3,3,0,1.0,1.0,1.0
atcoder/arc194_e,B,3,0,0,0.0,0.0,0.0
atcoder/arc194_e,D,3,3,0,1.0,1.0,1.0
atcoder/arc194_e,P,3,0,0,0.0,0.0,0.0
atcoder/arc194_e,FIXED_M,3,0,0,0.0,0.0,0.0
atcoder/arc194_e,ROTATING_M,3,0,0,0.0,0.0,0.0
atcoder/arc194_e,FIXED_H,3,0,0,0.0,0.0,0.0
atcoder/arc194_e,ROTATING_H,3,0,0,0.0,0.0,0.0
leetcode/3485,A,3,3,0,1.0,1.0,1.0
leetcode/3485,B,3,3,0,1.0,1.0,1.0
leetcode/3485,D,3,3,0,1.0,1.0,1.0
leetcode/3485,P,3,0,0,0.0,0.0,0.0
leetcode/3485,FIXED_M,3,0,0,0.0,0.0,0.0
leetcode/3485,ROTATING_M,3,0,0,0.0,0.0,0.0
leetcode/3485,FIXED_H,3,0,0,0.0,0.0,0.0
leetcode/3485,ROTATING_H,3,0,0,0.0,0.0,0.0
atcoder/abc375_e,A,3,3,0,1.0,1.0,1.0
atcoder/abc375_e,B,3,3,0,1.0,1.0,1.0
atcoder/abc375_e,D,3,3,0,1.0,1.0,1.0
atcoder/abc375_e,P,3,0,0,0.0,0.0,0.0
atcoder/abc375_e,FIXED_M,3,0,0,0.0,0.0,0.0
atcoder/abc375_e,ROTATING_M,3,0,0,0.0,0.0,0.0
atcoder/abc375_e,FIXED_H,3,0,0,0.0,0.0,0.0
atcoder/abc375_e,ROTATING_H,3,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
leetcode/3805,A,3,3,0,1.0,1.0,1.0
leetcode/3805,B,3,3,0,1.0,1.0,1.0
leetcode/3805,D,3,3,0,1.0,1.0,1.0
leetcode/3805,P,3,0,0,0.0,0.0,0.0
leetcode/3805,FIXED_M,3,0,0,0.0,0.0,0.0
leetcode/3805,ROTATING_M,3,0,0,0.0,0.0,0.0
leetcode/3805,FIXED_H,3,0,0,0.0,0.0,0.0
leetcode/3805,ROTATING_H,3,0,0,0.0,0.0,0.0
atcoder/arc183_b,A,3,0,0,0.0,0.0,0.0
atcoder/arc183_b,B,3,0,0,0.0,0.0,0.0
atcoder/arc183_b,D,3,0,0,0.0,0.0,0.0
atcoder/arc183_b,P,3,0,0,0.0,0.0,0.0
atcoder/arc183_b,FIXED_M,3,0,0,0.0,0.0,0.0
atcoder/arc183_b,ROTATING_M,3,0,0,0.0,0.0,0.0
atcoder/arc183_b,FIXED_H,3,0,0,0.0,0.0,0.0
atcoder/arc183_b,ROTATING_H,3,0,0,0.0,0.0,0.0
leetcode/3548,A,3,3,0,1.0,1.0,1.0
leetcode/3548,B,3,0,0,0.0,0.0,0.0
leetcode/3548,D,3,3,0,1.0,1.0,1.0
leetcode/3548,P,3,0,0,0.0,0.0,0.0
