task_id,condition,source,draws,passed,missing,pass_rate,lower,upper
leetcode/3731,FIXED_M,secondary_training_seed,3,3,0,1.0,1.0,1.0
leetcode/3731,ROTATING_M,secondary_training_seed,3,3,0,1.0,1.0,1.0
leetcode/3731,FIXED_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
leetcode/3731,ROTATING_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
leetcode/3731,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3731,B,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3731,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3731,P,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc392_b,FIXED_M,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc392_b,ROTATING_M,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc392_b,FIXED_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc392_b,ROTATING_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc392_b,A,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc392_b,B,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc392_b,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc392_b,P,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3654,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3654,ROTATING_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3654,FIXED_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3654,ROTATING_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3654,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3654,B,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
leetcode/3654,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3654,P,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc371_b,FIXED_M,secondary_training_seed,3,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
atcoder/abc371_b,ROTATING_M,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc371_b,FIXED_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc371_b,ROTATING_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc371_b,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc371_b,B,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc371_b,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc371_b,P,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc388_f,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc388_f,ROTATING_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc388_f,FIXED_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc388_f,ROTATING_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc388_f,A,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc388_f,B,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc388_f,D,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc388_f,P,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/arc195_a,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/arc195_a,ROTATING_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/arc195_a,FIXED_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/arc195_a,ROTATING_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/arc195_a,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/arc195_a,B,reused_primary_native_reference,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
atcoder/arc195_a,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/arc195_a,P,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/arc194_e,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/arc194_e,ROTATING_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/arc194_e,FIXED_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/arc194_e,ROTATING_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/arc194_e,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/arc194_e,B,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/arc194_e,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/arc194_e,P,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
leetcode/3485,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3485,ROTATING_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3485,FIXED_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3485,ROTATING_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3485,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3485,B,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3485,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3485,P,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc375_e,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc375_e,ROTATING_M,secondary_training_seed,3,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
atcoder/abc375_e,FIXED_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc375_e,ROTATING_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc375_e,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc375_e,B,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc375_e,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc375_e,P,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
leetcode/3805,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3805,ROTATING_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3805,FIXED_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3805,ROTATING_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3805,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3805,B,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
