arm,step,task_id,answer_position,scored_count
FIXED,128,atcoder/abc302_b,0,1
FIXED,128,atcoder/abc302_b,1,1
FIXED,128,atcoder/abc302_b,2,1
FIXED,128,atcoder/abc302_b,3,1
FIXED,128,atcoder/abc302_b,4,1
FIXED,128,atcoder/abc302_b,5,1
FIXED,128,atcoder/abc302_b,6,1
FIXED,128,atcoder/abc302_b,7,1
FIXED,128,atcoder/abc302_b,32,1
FIXED,128,atcoder/abc302_b,33,1
FIXED,128,atcoder/abc302_b,34,1
FIXED,128,atcoder/abc302_b,35,1
FIXED,128,atcoder/abc302_b,36,1
FIXED,128,atcoder/abc302_b,37,1
FIXED,128,atcoder/abc302_b,38,1
FIXED,128,atcoder/abc302_b,39,1
FIXED,128,atcoder/abc302_b,128,1
FIXED,128,atcoder/abc302_b,129,1
FIXED,128,atcoder/abc302_b,130,1
FIXED,128,atcoder/abc302_b,131,1
FIXED,128,atcoder/abc302_b,132,1
FIXED,128,atcoder/abc302_b,133,1
FIXED,128,atcoder/abc302_b,134,1
FIXED,128,atcoder/abc302_b,135,1
FIXED,128,atcoder/abc306_b,0,1
FIXED,128,atcoder/abc306_b,1,1
FIXED,128,atcoder/abc306_b,2,1
FIXED,128,atcoder/abc306_b,3,1
FIXED,128,atcoder/abc306_b,4,1
FIXED,128,atcoder/abc306_b,5,1
FIXED,128,atcoder/abc306_b,6,1
FIXED,128,atcoder/abc306_b,7,1
FIXED,128,atcoder/abc306_b,32,1
FIXED,128,atcoder/abc306_b,33,1
FIXED,128,atcoder/abc306_b,34,1
FIXED,128,atcoder/abc306_b,35,1
FIXED,128,atcoder/abc306_b,36,1
FIXED,128,atcoder/abc306_b,37,1
FIXED,128,atcoder/abc306_b,38,1
FIXED,128,atcoder/abc306_b,39,1
FIXED,128,atcoder/abc309_e,0,2
FIXED,128,atcoder/abc309_e,1,2
FIXED,128,atcoder/abc309_e,2,2
FIXED,128,atcoder/abc309_e,3,2
FIXED,128,atcoder/abc309_e,4,2
FIXED,128,atcoder/abc309_e,5,2
FIXED,128,atcoder/abc309_e,6,2
FIXED,128,atcoder/abc309_e,7,2
FIXED,128,atcoder/abc309_e,32,2
FIXED,128,atcoder/abc309_e,33,2
FIXED,128,atcoder/abc309_e,34,2
FIXED,128,atcoder/abc309_e,35,2
FIXED,128,atcoder/abc309_e,36,2
FIXED,128,atcoder/abc309_e,37,2
FIXED,128,atcoder/abc309_e,38,2
FIXED,128,atcoder/abc309_e,39,2
FIXED,128,atcoder/abc309_e,128,1
FIXED,128,atcoder/abc309_e,129,1
FIXED,128,atcoder/abc309_e,130,1
FIXED,128,atcoder/abc309_e,131,1
FIXED,128,atcoder/abc309_e,132,1
FIXED,128,atcoder/abc309_e,133,1
FIXED,128,atcoder/abc309_e,134,1
FIXED,128,atcoder/abc309_e,135,1
FIXED,128,atcoder/abc309_e,512,2
FIXED,128,atcoder/abc309_e,513,2
FIXED,128,atcoder/abc309_e,514,2
FIXED,128,atcoder/abc309_e,515,2
FIXED,128,atcoder/abc309_e,516,2
FIXED,128,atcoder/abc309_e,517,2
FIXED,128,atcoder/abc309_e,518,2
FIXED,128,atcoder/abc309_e,519,2
FIXED,128,atcoder/abc314_d,0,1
FIXED,128,atcoder/abc314_d,1,1
FIXED,128,atcoder/abc314_d,2,1
FIXED,128,atcoder/abc314_d,3,1
FIXED,128,atcoder/abc314_d,4,1
FIXED,128,atcoder/abc314_d,5,1
FIXED,128,atcoder/abc314_d,6,1
FIXED,128,atcoder/abc314_d,7,1
FIXED,128,atcoder/abc314_d,32,1
FIXED,128,atcoder/abc314_d,33,1
FIXED,128,atcoder/abc314_d,34,1
FIXED,128,atcoder/abc314_d,35,1
FIXED,128,atcoder/abc314_d,36,1
FIXED,128,atcoder/abc314_d,37,1
FIXED,128,atcoder/abc314_d,38,1
FIXED,128,atcoder/abc314_d,39,1
FIXED,128,atcoder/abc314_d,128,1
FIXED,128,atcoder/abc314_d,129,1
FIXED,128,atcoder/abc314_d,130,1
FIXED,128,atcoder/abc314_d,131,1
FIXED,128,atcoder/abc314_d,132,1
FIXED,128,atcoder/abc314_d,133,1
FIXED,128,atcoder/abc314_d,134,1
FIXED,128,atcoder/abc314_d,135,1
FIXED,128,atcoder/abc314_d,512,2
FIXED,128,atcoder/abc314_d,513,2
FIXED,128,atcoder/abc314_d,514,2
FIXED,128,atcoder/abc314_d,515,2
FIXED,128,atcoder/abc314_d,516,2
FIXED,128,atcoder/abc314_d,517,2
FIXED,128,atcoder/abc314_d,518,2
FIXED,128,atcoder/abc314_d,519,2
FIXED,128,atcoder/abc322_b,0,1
FIXED,128,atcoder/abc322_b,1,1
FIXED,128,atcoder/abc322_b,2,1
FIXED,128,atcoder/abc322_b,3,1
FIXED,128,atcoder/abc322_b,4,1
FIXED,128,atcoder/abc322_b,5,1
FIXED,128,atcoder/abc322_b,6,1
FIXED,128,atcoder/abc322_b,7,1
FIXED,128,atcoder/abc322_b,32,1
FIXED,128,atcoder/abc322_b,33,1
FIXED,128,atcoder/abc322_b,34,1
FIXED,128,atcoder/abc322_b,35,1
FIXED,128,atcoder/abc322_b,36,1
FIXED,128,atcoder/abc322_b,37,1
FIXED,128,atcoder/abc322_b,38,1
FIXED,128,atcoder/abc322_b,39,1
FIXED,128,atcoder/abc327_e,0,1
FIXED,128,atcoder/abc327_e,1,1
FIXED,128,atcoder/abc327_e,2,1
FIXED,128,atcoder/abc327_e,3,1
FIXED,128,atcoder/abc327_e,4,1
FIXED,128,atcoder/abc327_e,5,1
FIXED,128,atcoder/abc327_e,6,1
FIXED,128,atcoder/abc327_e,7,1
FIXED,128,atcoder/abc327_e,32,1
FIXED,128,atcoder/abc327_e,33,1
FIXED,128,atcoder/abc327_e,34,1
FIXED,128,atcoder/abc327_e,35,1
FIXED,128,atcoder/abc327_e,36,1
FIXED,128,atcoder/abc327_e,37,1
FIXED,128,atcoder/abc327_e,38,1
FIXED,128,atcoder/abc327_e,39,1
FIXED,128,atcoder/abc327_e,128,2
FIXED,128,atcoder/abc327_e,129,2
FIXED,128,atcoder/abc327_e,130,2
FIXED,128,atcoder/abc327_e,131,2
FIXED,128,atcoder/abc327_e,132,2
FIXED,128,atcoder/abc327_e,133,2
FIXED,128,atcoder/abc327_e,134,2
FIXED,128,atcoder/abc327_e,135,2
FIXED,128,atcoder/abc327_e,512,2
FIXED,128,atcoder/abc327_e,513,2
FIXED,128,atcoder/abc327_e,514,2
FIXED,128,atcoder/abc327_e,515,2
FIXED,128,atcoder/abc327_e,516,2
FIXED,128,atcoder/abc327_e,517,2
FIXED,128,atcoder/abc327_e,518,2
FIXED,128,atcoder/abc327_e,519,2
FIXED,128,atcoder/abc331_e,0,1
FIXED,128,atcoder/abc331_e,1,1
FIXED,128,atcoder/abc331_e,2,1
FIXED,128,atcoder/abc331_e,3,1
FIXED,128,atcoder/abc331_e,4,1
FIXED,128,atcoder/abc331_e,5,1
FIXED,128,atcoder/abc331_e,6,1
FIXED,128,atcoder/abc331_e,7,1
FIXED,128,atcoder/abc331_e,32,1
FIXED,128,atcoder/abc331_e,33,1
FIXED,128,atcoder/abc331_e,34,1
FIXED,128,atcoder/abc331_e,35,1
FIXED,128,atcoder/abc331_e,36,1
FIXED,128,atcoder/abc331_e,37,1
FIXED,128,atcoder/abc331_e,38,1
FIXED,128,atcoder/abc331_e,39,1
FIXED,128,atcoder/abc331_e,128,1
FIXED,128,atcoder/abc331_e,129,1
FIXED,128,atcoder/abc331_e,130,1
FIXED,128,atcoder/abc331_e,131,1
FIXED,128,atcoder/abc331_e,132,1
FIXED,128,atcoder/abc331_e,133,1
FIXED,128,atcoder/abc331_e,134,1
FIXED,128,atcoder/abc331_e,135,1
FIXED,128,atcoder/abc331_e,512,2
FIXED,128,atcoder/abc331_e,513,2
FIXED,128,atcoder/abc331_e,514,2
FIXED,128,atcoder/abc331_e,515,2
FIXED,128,atcoder/abc331_e,516,2
FIXED,128,atcoder/abc331_e,517,2
FIXED,128,atcoder/abc331_e,518,2
FIXED,128,atcoder/abc331_e,519,2
FIXED,128,codeforces/1899_C,0,2
FIXED,128,codeforces/1899_C,1,2
FIXED,128,codeforces/1899_C,2,2
FIXED,128,codeforces/1899_C,3,2
FIXED,128,codeforces/1899_C,4,2
FIXED,128,codeforces/1899_C,5,2
FIXED,128,codeforces/1899_C,6,2
FIXED,128,codeforces/1899_C,7,2
FIXED,128,codeforces/1899_C,32,2
FIXED,128,codeforces/1899_C,33,2
FIXED,128,codeforces/1899_C,34,2
FIXED,128,codeforces/1899_C,35,2
FIXED,128,codeforces/1899_C,36,2
FIXED,128,codeforces/1899_C,37,2
FIXED,128,codeforces/1899_C,38,2
FIXED,128,codeforces/1899_C,39,2
FIXED,128,codeforces/1899_C,128,1
FIXED,128,codeforces/1899_C,129,1
FIXED,128,codeforces/1899_C,130,1
FIXED,128,codeforces/1899_C,131,1
FIXED,128,codeforces/1899_C,132,1
FIXED,128,codeforces/1899_C,133,1
FIXED,128,codeforces/1899_C,134,1
FIXED,128,codeforces/1899_C,135,1
FIXED,128,codeforces/1899_C,512,2
FIXED,128,codeforces/1899_C,513,2
FIXED,128,codeforces/1899_C,514,2
FIXED,128,codeforces/1899_C,515,2
FIXED,128,codeforces/1899_C,516,2
FIXED,128,codeforces/1899_C,517,2
FIXED,128,codeforces/1899_C,518,2
FIXED,128,codeforces/1899_C,519,2
FIXED,128,leetcode/2817,0,1
FIXED,128,leetcode/2817,1,1
FIXED,128,leetcode/2817,2,1
FIXED,128,leetcode/2817,3,1
FIXED,128,leetcode/2817,4,1
FIXED,128,leetcode/2817,5,1
FIXED,128,leetcode/2817,6,1
FIXED,128,leetcode/2817,7,1
FIXED,128,leetcode/2817,32,1
FIXED,128,leetcode/2817,33,1
FIXED,128,leetcode/2817,34,1
FIXED,128,leetcode/2817,35,1
FIXED,128,leetcode/2817,36,1
FIXED,128,leetcode/2817,37,1
FIXED,128,leetcode/2817,38,1
FIXED,128,leetcode/2817,39,1
FIXED,128,leetcode/2817,128,1
FIXED,128,leetcode/2817,129,1
FIXED,128,leetcode/2817,130,1
FIXED,128,leetcode/2817,131,1
FIXED,128,leetcode/2817,132,1
FIXED,128,leetcode/2817,133,1
FIXED,128,leetcode/2817,134,1
FIXED,128,leetcode/2817,135,1
FIXED,128,leetcode/2845,0,1
FIXED,128,leetcode/2845,1,1
FIXED,128,leetcode/2845,2,1
FIXED,128,leetcode/2845,3,1
FIXED,128,leetcode/2845,4,1
FIXED,128,leetcode/2845,5,1
FIXED,128,leetcode/2845,6,1
FIXED,128,leetcode/2845,7,1
FIXED,128,leetcode/2845,32,1
FIXED,128,leetcode/2845,33,1
FIXED,128,leetcode/2845,34,1
FIXED,128,leetcode/2845,35,1
FIXED,128,leetcode/2845,36,1
FIXED,128,leetcode/2845,37,1
FIXED,128,leetcode/2845,38,1
FIXED,128,leetcode/2845,39,1
FIXED,128,leetcode/2845,128,1
FIXED,128,leetcode/2845,129,1
FIXED,128,leetcode/2845,130,1
FIXED,128,leetcode/2845,131,1
FIXED,128,leetcode/2845,132,1
FIXED,128,leetcode/2845,133,1
FIXED,128,leetcode/2845,134,1
FIXED,128,leetcode/2845,135,1
FIXED,128,leetcode/2881,0,1
FIXED,128,leetcode/2881,1,1
FIXED,128,leetcode/2881,2,1
FIXED,128,leetcode/2881,3,1
FIXED,128,leetcode/2881,4,1
FIXED,128,leetcode/2881,5,1
FIXED,128,leetcode/2881,6,1
FIXED,128,leetcode/2881,7,1
FIXED,128,leetcode/2881,32,2
FIXED,128,leetcode/2881,33,2
FIXED,128,leetcode/2881,34,2
FIXED,128,leetcode/2881,35,2
FIXED,128,leetcode/2881,36,2
FIXED,128,leetcode/2881,37,2
FIXED,128,leetcode/2881,38,1
FIXED,128,leetcode/2881,39,1
FIXED,128,leetcode/2881,128,2
FIXED,128,leetcode/2881,129,2
FIXED,128,leetcode/2881,130,2
FIXED,128,leetcode/2881,131,2
FIXED,128,leetcode/2881,132,2
FIXED,128,leetcode/2881,133,2
FIXED,128,leetcode/2881,134,2
FIXED,128,leetcode/2881,135,2
FIXED,128,leetcode/2915,0,1
FIXED,128,leetcode/2915,1,1
FIXED,128,leetcode/2915,2,1
FIXED,128,leetcode/2915,3,1
FIXED,128,leetcode/2915,4,1
FIXED,128,leetcode/2915,5,1
FIXED,128,leetcode/2915,6,1
FIXED,128,leetcode/2915,7,1
FIXED,128,leetcode/2915,32,1
FIXED,128,leetcode/2915,33,1
FIXED,128,leetcode/2915,34,1
FIXED,128,leetcode/2915,35,1
FIXED,128,leetcode/2915,36,1
FIXED,128,leetcode/2915,37,1
FIXED,128,leetcode/2915,38,1
FIXED,128,leetcode/2915,39,1
FIXED,128,leetcode/2915,128,1
FIXED,128,leetcode/2915,129,1
FIXED,128,leetcode/2915,130,1
FIXED,128,leetcode/2915,131,1
FIXED,128,leetcode/2915,132,1
FIXED,128,leetcode/2915,133,1
FIXED,128,leetcode/2915,134,1
FIXED,128,leetcode/2915,135,1
FIXED,128,leetcode/2915,512,2
FIXED,128,leetcode/2915,513,2
