comparison,primary_difference,primary_ci_low,primary_ci_high,difference_bound_low,difference_bound_high,bootstrap_envelope_low,bootstrap_envelope_high,definite_task_gains,definite_task_losses,definite_task_ties,ambiguous_tasks,mean_seconds_difference,seconds_ci_low,seconds_ci_high,latency_ratio
H10-SMALL_ONLY,0.0,-0.075,0.075,0.0,0.0,-0.075,0.075,1,1,38,0,95.22628988721844,47.23577592045987,147.29960563627995,1.1786119826308215
H10-LARGE_ONLY,,,,-0.1,-0.08333333333333333,-0.19999999999999998,-0.008333333333333333,0,4,35,1,-984.0684364396988,-1264.4883723875498,-732.6252729947984,0.38970262147811635
H10-FULL_TEXT,,,,-0.10833333333333332,-0.08333333333333333,-0.20833333333333334,-0.008333333333333333,0,4,35,1,-927.6155141671552,-1204.8869360904343,-678.9997930407923,0.4038414532224437
H25-SMALL_ONLY,,,,-0.008333333333333335,0.008333333333333331,-0.08333333333333334,0.09166666666666665,1,2,36,1,232.3192631833008,173.66465933337807,294.9964487914578,1.4357515582056775
H25-LARGE_ONLY,,,,-0.10833333333333332,-0.075,-0.2,0.008333333333333331,0,5,34,1,-846.9754631436165,-1112.7079264690108,-606.7662670294018,0.4747246373442828
H25-FULL_TEXT,,,,-0.11666666666666665,-0.075,-0.2166666666666667,0.008333333333333331,0,5,34,1,-790.5225408710729,-1054.2274610797651,-554.0156618263753,0.4919481595952732
H50-SMALL_ONLY,,,,0.075,0.1,0.0,0.2,3,0,36,1,517.2564068147263,380.6163041731246,669.2136621424232,1.970196281500553
H50-LARGE_ONLY,,,,-0.024999999999999994,0.01666666666666667,-0.09999999999999999,0.09166666666666667,1,1,37,1,-562.0383195121909,-723.1833376172717,-414.2290588855038,0.6514363225914178
H50-FULL_TEXT,,,,-0.03333333333333333,0.01666666666666667,-0.1168749999999998,0.09166666666666667,1,1,37,1,-505.5853972396473,-665.2011703981706,-360.9896261036524,0.6750711355221812
H75-SMALL_ONLY,,,,0.075,0.1,0.0,0.2,3,0,36,1,752.4148141660207,559.676777703638,965.7333169137149,2.4112731040782927
H75-LARGE_ONLY,,,,-0.025,0.01666666666666667,-0.06666666666666667,0.075,0,1,38,1,-326.8799121608962,-420.7955446424318,-243.52766337534447,0.797276341668862
H75-FULL_TEXT,,,,-0.03333333333333333,0.01666666666666667,-0.09166666666666666,0.075,0,1,38,1,-270.42698988835275,-361.0072994736883,-190.03135120747876,0.8262023879085121
