task_id,condition,passed,draws,missing,pass_rate,quality_lower_bound,quality_upper_bound,mean_stage_seconds
atcoder/abc356_a,SMALL_ONLY,3,3,0,1.0,1.0,1.0,99.6005130961227
atcoder/abc358_b,SMALL_ONLY,3,3,0,1.0,1.0,1.0,99.46850586236299
leetcode/3511,SMALL_ONLY,3,3,0,1.0,1.0,1.0,192.28084423583155
atcoder/abc359_a,SMALL_ONLY,3,3,0,1.0,1.0,1.0,58.53097011179974
leetcode/3412,SMALL_ONLY,3,3,0,1.0,1.0,1.0,97.1631471941558
atcoder/abc349_a,SMALL_ONLY,3,3,0,1.0,1.0,1.0,32.364728458380945
leetcode/3428,SMALL_ONLY,3,3,0,1.0,1.0,1.0,93.04250974825118
leetcode/3450,SMALL_ONLY,3,3,0,1.0,1.0,1.0,105.88028943080765
leetcode/3379,SMALL_ONLY,3,3,0,1.0,1.0,1.0,66.23467375004354
leetcode/3484,SMALL_ONLY,3,3,0,1.0,1.0,1.0,387.6074874581148
atcoder/abc362_c,SMALL_ONLY,0,3,0,0.0,0.0,0.0,477.3875959862489
leetcode/3455,SMALL_ONLY,0,3,0,0.0,0.0,0.0,1104.3581067626753
leetcode/3464,SMALL_ONLY,3,3,0,1.0,1.0,1.0,767.798806125531
atcoder/abc357_d,SMALL_ONLY,3,3,0,1.0,1.0,1.0,352.15037591565243
atcoder/abc360_c,SMALL_ONLY,3,3,0,1.0,1.0,1.0,750.1401669578627
leetcode/3430,SMALL_ONLY,3,3,0,1.0,1.0,1.0,142.19975019351114
leetcode/3384,SMALL_ONLY,3,3,0,1.0,1.0,1.0,110.11661561167178
leetcode/3461,SMALL_ONLY,3,3,0,1.0,1.0,1.0,121.81448234854422
leetcode/3453,SMALL_ONLY,3,3,0,1.0,1.0,1.0,285.48945390355465
leetcode/3413,SMALL_ONLY,0,3,0,0.0,0.0,0.0,672.1214809302473
atcoder/abc357_c,SMALL_ONLY,3,3,0,1.0,1.0,1.0,195.21808477743375
leetcode/3462,SMALL_ONLY,3,3,0,1.0,1.0,1.0,507.7965078052366
atcoder/abc364_e,SMALL_ONLY,0,3,0,0.0,0.0,0.0,1623.467429346599
atcoder/abc351_d,SMALL_ONLY,3,3,0,1.0,1.0,1.0,890.9645114154167
atcoder/abc352_e,SMALL_ONLY,3,3,0,1.0,1.0,1.0,469.5913414017996
atcoder/abc359_e,SMALL_ONLY,0,3,0,0.0,0.0,0.0,1734.8291804309702
atcoder/abc362_e,SMALL_ONLY,3,3,0,1.0,1.0,1.0,712.7996416116754
atcoder/abc364_d,SMALL_ONLY,3,3,0,1.0,1.0,1.0,531.2766382783497
atcoder/abc348_e,SMALL_ONLY,3,3,0,1.0,1.0,1.0,512.5510708899237
atcoder/abc351_f,SMALL_ONLY,3,3,0,1.0,1.0,1.0,737.6284309870098
atcoder/abc362_d,SMALL_ONLY,3,3,0,1.0,1.0,1.0,299.4007081397576
leetcode/3478,SMALL_ONLY,0,3,0,0.0,0.0,0.0,1636.035661916753
atcoder/abc353_e,SMALL_ONLY,3,3,0,1.0,1.0,1.0,334.4932011673227
leetcode/3482,SMALL_ONLY,0,3,0,0.0,0.0,0.0,831.8921570829503
atcoder/abc363_e,SMALL_ONLY,3,3,0,1.0,1.0,1.0,815.5376597919967
atcoder/abc349_d,SMALL_ONLY,3,3,0,1.0,1.0,1.0,501.8385943051738
leetcode/3454,SMALL_ONLY,0,3,0,0.0,0.0,0.0,1075.8823689434212
atcoder/abc358_e,SMALL_ONLY,3,3,0,1.0,1.0,1.0,591.6944332765803
leetcode/3466,SMALL_ONLY,3,3,0,1.0,1.0,1.0,482.3776193468754
atcoder/abc359_d,SMALL_ONLY,3,3,0,1.0,1.0,1.0,824.820031889365
atcoder/abc356_a,H10,3,3,0,1.0,1.0,1.0,110.87800414018177
atcoder/abc358_b,H10,3,3,0,1.0,1.0,1.0,125.87312349898275
leetcode/3511,H10,3,3,0,1.0,1.0,1.0,221.04898345916686
atcoder/abc359_a,H10,3,3,0,1.0,1.0,1.0,144.86444465387225
leetcode/3412,H10,3,3,0,1.0,1.0,1.0,89.8113320970054
atcoder/abc349_a,H10,3,3,0,1.0,1.0,1.0,67.32198825074981
leetcode/3428,H10,3,3,0,1.0,1.0,1.0,140.63680940216486
leetcode/3450,H10,3,3,0,1.0,1.0,1.0,158.67698201346988
leetcode/3379,H10,3,3,0,1.0,1.0,1.0,80.75253205562088
leetcode/3484,H10,3,3,0,1.0,1.0,1.0,345.57322222198127
atcoder/abc362_c,H10,0,3,0,0.0,0.0,0.0,342.23233005635365
leetcode/3455,H10,0,3,0,0.0,0.0,0.0,1232.3788356941466
leetcode/3464,H10,3,3,0,1.0,1.0,1.0,926.1002326950353
atcoder/abc357_d,H10,3,3,0,1.0,1.0,1.0,483.06018215206376
atcoder/abc360_c,H10,3,3,0,1.0,1.0,1.0,535.0917563193556
leetcode/3430,H10,3,3,0,1.0,1.0,1.0,185.33161134882053
leetcode/3384,H10,3,3,0,1.0,1.0,1.0,138.8838210005973
leetcode/3461,H10,3,3,0,1.0,1.0,1.0,182.350355639006
leetcode/3453,H10,3,3,0,1.0,1.0,1.0,261.8714201665716
leetcode/3413,H10,3,3,0,1.0,1.0,1.0,505.0586170545236
atcoder/abc357_c,H10,3,3,0,1.0,1.0,1.0,343.338330429513
